track_id,lesson_id,level_id,topic_id,track,topic,subtopic,level,content_type,video_1,video_2,video_3,article_url,duration_minutes,description_en,project_idea
TRK-001,L0001,LVL-001,FE-T01,frontend,HTML,What is HTML and How the Browser Works,beginner,explanation,▶ Video 1,▶ Video 2,▶ Video 3,https://developer.mozilla.org/en-US/docs/Learn/HTML/Introduction_to_HTML,60,Introduction to HTML from scratch,
TRK-001,L0002,LVL-001,FE-T01,frontend,HTML,"Page Structure: DOCTYPE, html, head, body",beginner,explanation,▶ Video 1,▶ Video 2,▶ Video 3,,35,Explaining HTML page structure,
TRK-001,L0003,LVL-001,FE-T01,frontend,HTML,Tags and Attributes and How They're Written,beginner,explanation,▶ Video 1,▶ Video 2,▶ Video 3,,35,Explaining tags and attributes,
TRK-001,L0004,LVL-001,FE-T01,frontend,HTML,"Text Elements: h1-h6, p, strong, em",beginner,explanation,▶ Video 1,▶ Video 2,▶ Video 3,,30,Explaining text elements,
TRK-001,L0005,LVL-001,FE-T01,frontend,HTML,Links: anchor tag and href,beginner,explanation,▶ Video 1,▶ Video 2,▶ Video 3,https://developer.mozilla.org/en-US/docs/Web/HTML/Element/a,25,Explaining anchor links,
TRK-001,L0006,LVL-001,FE-T01,frontend,HTML,"Images: img tag, alt, and src",beginner,explanation,▶ Video 1,▶ Video 2,▶ Video 3,,25,Explaining image elements,
TRK-001,L0007,LVL-001,FE-T01,frontend,HTML,"Lists: ul, ol, li",beginner,explanation,▶ Video 1,▶ Video 2,▶ Video 3,,20,Explaining lists,
TRK-001,L0008,LVL-001,FE-T01,frontend,HTML,"Tables: table, tr, td, th",beginner,explanation,▶ Video 1,▶ Video 2,▶ Video 3,,30,Explaining tables,
TRK-001,L0009,LVL-001,FE-T01,frontend,HTML,"Forms: form, input, button, select, textarea",beginner,explanation,▶ Video 1,▶ Video 2,▶ Video 3,https://developer.mozilla.org/en-US/docs/Learn/Forms,45,Explaining Forms,
TRK-001,L0010,LVL-001,FE-T01,frontend,HTML,"Input Types: text, email, password, number, date",beginner,explanation,▶ Video 1,▶ Video 2,▶ Video 3,,30,Explaining input types,
TRK-001,L0011,LVL-001,FE-T01,frontend,HTML,Semantic HTML5: header nav main section article footer,beginner,explanation,▶ Video 1,▶ Video 2,▶ Video 3,https://web.dev/learn/html/semantic-html,40,Explaining semantic HTML5,
TRK-001,L0012,LVL-001,FE-T01,frontend,HTML,div and span and When to Use Them,beginner,explanation,▶ Video 1,▶ Video 2,▶ Video 3,,25,Explaining div and span elements,
TRK-001,L0013,LVL-001,FE-T01,frontend,HTML,Article: Complete HTML Reference - MDN,beginner,article,,▶ Video 2,▶ Video 3,https://developer.mozilla.org/en-US/docs/Web/HTML/Element,0,Reference for all HTML elements,
