track_id,lesson_id,level_id,topic_id,track,topic,subtopic,level,content_type,video_1,video_2,video_3,article_url,duration_minutes,description_en,project_idea
TRK-001,L0001,LVL-001,FE-T01,frontend,HTML,What is HTML and How the Browser Works,beginner,explanation,https://youtu.be/qz0aGYrrlhU,https://www.youtube.com/results?search_query=HTML%20What%20is%20HTML%20and%20How%20the%20Browser%20Works%20Kevin%20Powell,https://www.youtube.com/results?search_query=HTML%20What%20is%20HTML%20and%20How%20the%20Browser%20Works%20Web%20Dev%20Simplified,https://developer.mozilla.org/en-US/docs/Learn/HTML/Introduction_to_HTML,60,Introduction to HTML from scratch,
TRK-001,L0002,LVL-001,FE-T01,frontend,HTML,"Page Structure: DOCTYPE, html, head, body",beginner,explanation,https://youtu.be/UB1O30fR-EE,https://www.youtube.com/results?search_query=HTML%20Page%20Structure%3A%20DOCTYPE%2C%20html%2C%20head%2C%20body%20Kevin%20Powell,https://www.youtube.com/results?search_query=HTML%20Page%20Structure%3A%20DOCTYPE%2C%20html%2C%20head%2C%20body%20Web%20Dev%20Simplified,,35,Explaining HTML page structure,
TRK-001,L0003,LVL-001,FE-T01,frontend,HTML,Tags and Attributes and How They're Written,beginner,explanation,https://youtu.be/dD2EISBDjWM,https://www.youtube.com/results?search_query=HTML%20Tags%20and%20Attributes%20and%20How%20They%27re%20Written%20Kevin%20Powell,https://www.youtube.com/results?search_query=HTML%20Tags%20and%20Attributes%20and%20How%20They%27re%20Written%20Web%20Dev%20Simplified,,35,Explaining tags and attributes,
TRK-001,L0004,LVL-001,FE-T01,frontend,HTML,"Text Elements: h1-h6, p, strong, em",beginner,explanation,https://youtu.be/mOGdQHGS8S8,https://www.youtube.com/results?search_query=HTML%20Text%20Elements%3A%20h1-h6%2C%20p%2C%20strong%2C%20em%20Kevin%20Powell,https://www.youtube.com/results?search_query=HTML%20Text%20Elements%3A%20h1-h6%2C%20p%2C%20strong%2C%20em%20Web%20Dev%20Simplified,,30,Explaining text elements,
TRK-001,L0005,LVL-001,FE-T01,frontend,HTML,Links: anchor tag and href,beginner,explanation,https://youtu.be/09oErCBjVns,https://www.youtube.com/results?search_query=HTML%20Links%3A%20anchor%20tag%20and%20href%20Kevin%20Powell,https://www.youtube.com/results?search_query=HTML%20Links%3A%20anchor%20tag%20and%20href%20Web%20Dev%20Simplified,https://developer.mozilla.org/en-US/docs/Web/HTML/Element/a,25,Explaining anchor links,
TRK-001,L0006,LVL-001,FE-T01,frontend,HTML,"Images: img tag, alt, and src",beginner,explanation,https://youtu.be/mOGdQHGS8S8,https://www.youtube.com/results?search_query=HTML%20Images%3A%20img%20tag%2C%20alt%2C%20and%20src%20Kevin%20Powell,https://www.youtube.com/results?search_query=HTML%20Images%3A%20img%20tag%2C%20alt%2C%20and%20src%20Web%20Dev%20Simplified,,25,Explaining image elements,
TRK-001,L0007,LVL-001,FE-T01,frontend,HTML,"Lists: ul, ol, li",beginner,explanation,https://youtu.be/09oErCBjVns,https://www.youtube.com/results?search_query=HTML%20Lists%3A%20ul%2C%20ol%2C%20li%20Kevin%20Powell,https://www.youtube.com/results?search_query=HTML%20Lists%3A%20ul%2C%20ol%2C%20li%20Web%20Dev%20Simplified,,20,Explaining lists,
TRK-001,L0008,LVL-001,FE-T01,frontend,HTML,"Tables: table, tr, td, th",beginner,explanation,https://youtu.be/dQw4w9WgXcQ,https://www.youtube.com/results?search_query=HTML%20Tables%3A%20table%2C%20tr%2C%20td%2C%20th%20Kevin%20Powell,https://www.youtube.com/results?search_query=HTML%20Tables%3A%20table%2C%20tr%2C%20td%2C%20th%20Web%20Dev%20Simplified,,30,Explaining tables,
TRK-001,L0009,LVL-001,FE-T01,frontend,HTML,"Forms: form, input, button, select, textarea",beginner,explanation,https://youtu.be/fNcJuPIZ2WE,https://www.youtube.com/results?search_query=HTML%20Forms%3A%20form%2C%20input%2C%20button%2C%20select%2C%20textarea%20Kevin%20Powell,https://www.youtube.com/results?search_query=HTML%20Forms%3A%20form%2C%20input%2C%20button%2C%20select%2C%20textarea%20Web%20Dev%20Simplified,https://developer.mozilla.org/en-US/docs/Learn/Forms,45,Explaining Forms,
TRK-001,L0010,LVL-001,FE-T01,frontend,HTML,"Input Types: text, email, password, number, date",beginner,explanation,https://youtu.be/fNcJuPIZ2WE,https://www.youtube.com/results?search_query=HTML%20Input%20Types%3A%20text%2C%20email%2C%20password%2C%20number%2C%20date%20Kevin%20Powell,https://www.youtube.com/results?search_query=HTML%20Input%20Types%3A%20text%2C%20email%2C%20password%2C%20number%2C%20date%20Web%20Dev%20Simplified,,30,Explaining input types,
TRK-001,L0011,LVL-001,FE-T01,frontend,HTML,Semantic HTML5: header nav main section article footer,beginner,explanation,https://youtu.be/kGW8Al_cga4,https://www.youtube.com/results?search_query=HTML%20Semantic%20HTML5%3A%20header%20nav%20main%20section%20article%20footer%20Kevin%20Powell,https://www.youtube.com/results?search_query=HTML%20Semantic%20HTML5%3A%20header%20nav%20main%20section%20article%20footer%20Web%20Dev%20Simplified,https://web.dev/learn/html/semantic-html,40,Explaining semantic HTML5,
TRK-001,L0012,LVL-001,FE-T01,frontend,HTML,div and span and When to Use Them,beginner,explanation,https://youtu.be/kGW8Al_cga4,https://www.youtube.com/results?search_query=HTML%20div%20and%20span%20and%20When%20to%20Use%20Them%20Kevin%20Powell,https://www.youtube.com/results?search_query=HTML%20div%20and%20span%20and%20When%20to%20Use%20Them%20Web%20Dev%20Simplified,,25,Explaining div and span elements,
TRK-001,L0013,LVL-001,FE-T01,frontend,HTML,Article: Complete HTML Reference - MDN,beginner,article,,https://www.youtube.com/results?search_query=HTML%20Article%3A%20Complete%20HTML%20Reference%20-%20MDN%20Kevin%20Powell,https://www.youtube.com/results?search_query=HTML%20Article%3A%20Complete%20HTML%20Reference%20-%20MDN%20Web%20Dev%20Simplified,https://developer.mozilla.org/en-US/docs/Web/HTML/Element,0,Reference for all HTML elements,
TRK-001,L0014,LVL-001,FE-T02,frontend,CSS,What is CSS and How It Connects to HTML,beginner,explanation,https://youtu.be/1PnVor36_40,https://www.youtube.com/results?search_query=CSS%20What%20is%20CSS%20and%20How%20It%20Connects%20to%20HTML%20Kevin%20Powell,https://www.youtube.com/results?search_query=CSS%20What%20is%20CSS%20and%20How%20It%20Connects%20to%20HTML%20Web%20Dev%20Simplified,https://developer.mozilla.org/en-US/docs/Learn/CSS/First_steps,40,Introduction to CSS,
TRK-001,L0015,LVL-001,FE-T02,frontend,CSS,"Selectors: element, class, id",beginner,explanation,https://youtu.be/l1mER1bV0N0,https://www.youtube.com/results?search_query=CSS%20Selectors%3A%20element%2C%20class%2C%20id%20Kevin%20Powell,https://www.youtube.com/results?search_query=CSS%20Selectors%3A%20element%2C%20class%2C%20id%20Web%20Dev%20Simplified,https://web.dev/learn/css/selectors,35,Explaining CSS selectors,
TRK-001,L0016,LVL-001,FE-T02,frontend,CSS,"Advanced Selectors: combinators, pseudo-classes",beginner,explanation,https://youtu.be/0VDx1570X3U,https://www.youtube.com/results?search_query=CSS%20Advanced%20Selectors%3A%20combinators%2C%20pseudo-classes%20Kevin%20Powell,https://www.youtube.com/results?search_query=CSS%20Advanced%20Selectors%3A%20combinators%2C%20pseudo-classes%20Web%20Dev%20Simplified,,35,Explaining advanced selectors,
TRK-001,L0017,LVL-001,FE-T02,frontend,CSS,"Colors: color, background-color, opacity",beginner,explanation,https://youtu.be/HXgRbp3UNMs,https://www.youtube.com/results?search_query=CSS%20Colors%3A%20color%2C%20background-color%2C%20opacity%20Kevin%20Powell,https://www.youtube.com/results?search_query=CSS%20Colors%3A%20color%2C%20background-color%2C%20opacity%20Web%20Dev%20Simplified,,30,Explaining colors and backgrounds,
TRK-001,L0018,LVL-001,FE-T02,frontend,CSS,"Typography: font-family, size, weight, line-height",beginner,explanation,https://youtu.be/8n04KqQHe_0,https://www.youtube.com/results?search_query=CSS%20Typography%3A%20font-family%2C%20size%2C%20weight%2C%20line-height%20Kevin%20Powell,https://www.youtube.com/results?search_query=CSS%20Typography%3A%20font-family%2C%20size%2C%20weight%2C%20line-height%20Web%20Dev%20Simplified,,40,Explaining typography and fonts,
TRK-001,L0019,LVL-001,FE-T02,frontend,CSS,"Box Model: margin, padding, border, width, height",beginner,explanation,https://youtu.be/rIO5326FgPE,https://www.youtube.com/results?search_query=CSS%20Box%20Model%3A%20margin%2C%20padding%2C%20border%2C%20width%2C%20height%20Kevin%20Powell,https://www.youtube.com/results?search_query=CSS%20Box%20Model%3A%20margin%2C%20padding%2C%20border%2C%20width%2C%20height%20Web%20Dev%20Simplified,https://web.dev/learn/css/box-model,30,Explaining the box model,
TRK-001,L0020,LVL-001,FE-T02,frontend,CSS,"Display: block, inline, inline-block, none",beginner,explanation,https://youtu.be/jx5jmI0UlXU,https://www.youtube.com/results?search_query=CSS%20Display%3A%20block%2C%20inline%2C%20inline-block%2C%20none%20Kevin%20Powell,https://www.youtube.com/results?search_query=CSS%20Display%3A%20block%2C%20inline%2C%20inline-block%2C%20none%20Web%20Dev%20Simplified,,35,Explaining the display property,
TRK-001,L0021,LVL-001,FE-T02,frontend,CSS,"Position: static, relative, absolute, fixed, sticky",beginner,explanation,https://youtu.be/jx5jmI0UlXU,https://www.youtube.com/results?search_query=CSS%20Position%3A%20static%2C%20relative%2C%20absolute%2C%20fixed%2C%20sticky%20Kevin%20Powell,https://www.youtube.com/results?search_query=CSS%20Position%3A%20static%2C%20relative%2C%20absolute%2C%20fixed%2C%20sticky%20Web%20Dev%20Simplified,https://web.dev/learn/css/layout,45,Explaining positioning,
TRK-001,L0022,LVL-001,FE-T02,frontend,CSS,Complete Flexbox: container and items,beginner,explanation,https://youtu.be/3YW65K6LcIA,https://www.youtube.com/results?search_query=CSS%20Complete%20Flexbox%3A%20container%20and%20items%20Kevin%20Powell,https://www.youtube.com/results?search_query=CSS%20Complete%20Flexbox%3A%20container%20and%20items%20Web%20Dev%20Simplified,https://css-tricks.com/snippets/css/a-guide-to-flexbox,55,Explaining Flexbox layout,
TRK-001,L0023,LVL-001,FE-T02,frontend,CSS,"Complete CSS Grid: rows, columns, areas",beginner,explanation,https://youtu.be/EiNiSFIPIQE,https://www.youtube.com/results?search_query=CSS%20Complete%20CSS%20Grid%3A%20rows%2C%20columns%2C%20areas%20Kevin%20Powell,https://www.youtube.com/results?search_query=CSS%20Complete%20CSS%20Grid%3A%20rows%2C%20columns%2C%20areas%20Web%20Dev%20Simplified,https://css-tricks.com/snippets/css/complete-guide-grid,50,Explaining CSS Grid layout,
TRK-001,L0024,LVL-001,FE-T02,frontend,CSS,Responsive Design: Media Queries,beginner,explanation,https://youtu.be/srvUrASNj0s,https://www.youtube.com/results?search_query=CSS%20Responsive%20Design%3A%20Media%20Queries%20Kevin%20Powell,https://www.youtube.com/results?search_query=CSS%20Responsive%20Design%3A%20Media%20Queries%20Web%20Dev%20Simplified,https://web.dev/learn/design/media-queries,45,Explaining responsive design,
TRK-001,L0025,LVL-001,FE-T02,frontend,CSS,Mobile First Approach,beginner,explanation,https://youtu.be/0ohtVzCSHqs,https://www.youtube.com/results?search_query=CSS%20Mobile%20First%20Approach%20Kevin%20Powell,https://www.youtube.com/results?search_query=CSS%20Mobile%20First%20Approach%20Web%20Dev%20Simplified,,30,Explaining mobile first approach,
TRK-001,L0026,LVL-001,FE-T02,frontend,CSS,Basic Transitions and Animations,beginner,explanation,https://youtu.be/SgmNxE9lWcY,https://www.youtube.com/results?search_query=CSS%20Basic%20Transitions%20and%20Animations%20Kevin%20Powell,https://www.youtube.com/results?search_query=CSS%20Basic%20Transitions%20and%20Animations%20Web%20Dev%20Simplified,https://web.dev/learn/css/animations,40,Explaining animations and transitions,
TRK-001,L0027,LVL-001,FE-T02,frontend,CSS,"Pseudo-classes: hover, focus, active",beginner,explanation,https://youtu.be/0VDx1570X3U,https://www.youtube.com/results?search_query=CSS%20Pseudo-classes%3A%20hover%2C%20focus%2C%20active%20Kevin%20Powell,https://www.youtube.com/results?search_query=CSS%20Pseudo-classes%3A%20hover%2C%20focus%2C%20active%20Web%20Dev%20Simplified,,30,Explaining pseudo-classes,
TRK-001,L0028,LVL-001,FE-T02,frontend,CSS,"Pseudo-elements: before, after",beginner,explanation,https://youtu.be/0VDx1570X3U,https://www.youtube.com/results?search_query=CSS%20Pseudo-elements%3A%20before%2C%20after%20Kevin%20Powell,https://www.youtube.com/results?search_query=CSS%20Pseudo-elements%3A%20before%2C%20after%20Web%20Dev%20Simplified,,25,Explaining pseudo-elements,
TRK-001,L0029,LVL-001,FE-T02,frontend,CSS,Project: Full Portfolio Page with HTML & CSS,beginner,project,https://youtu.be/oYRda7UtuhA,https://www.youtube.com/results?search_query=CSS%20Project%3A%20Full%20Portfolio%20Page%20with%20HTML%20%26%20CSS%20Kevin%20Powell,https://www.youtube.com/results?search_query=CSS%20Project%3A%20Full%20Portfolio%20Page%20with%20HTML%20%26%20CSS%20Web%20Dev%20Simplified,,90,Portfolio page project,
TRK-001,L0030,LVL-001,FE-T02,frontend,CSS,Article: CSS Tricks Almanac,beginner,article,,https://www.youtube.com/results?search_query=CSS%20Article%3A%20CSS%20Tricks%20Almanac%20Kevin%20Powell,https://www.youtube.com/results?search_query=CSS%20Article%3A%20CSS%20Tricks%20Almanac%20Web%20Dev%20Simplified,https://css-tricks.com/almanac,0,Reference for all CSS properties,
